,Input,Change,Gain,Loss ,Avg Gain,Avg Loss,HM,14-day HMA,,
1,44.34,,,,,,,,,
2,44.09,-0.25,,0.25,,,,,,
3,44.15,0.06,0.06,,,,,,,
4,43.61,-0.54,,0.54,,,,,,
5,44.33,0.72,0.72,,,,,,,
6,44.83,0.50,0.50,,,,,,,
7,45.10,0.27,0.27,,,,,,,
8,45.42,0.33,0.33,,,,,,,
9,45.84,0.42,0.42,,,,,,,
10,46.08,0.24,0.24,,,,,,,
11,45.89,-0.19,,0.19,,,,,,
12,46.03,0.14,0.14,,,,,,,
13,45.61,-0.42,,0.42,,,,,,
14,46.28,0.67,0.67,,,,HM,HMA,,
15,46.28,,,,0.24,0.10,2.39,70.53,,
16,46.00,-0.28,,0.28,0.22,0.11,1.97,66.32,,
17,46.03,0.03,0.03,,0.21,0.10,1.99,66.55,,
18,46.41,0.38,0.38,,0.22,0.10,2.27,69.41,,
19,46.22,-0.19,,0.19,0.20,0.10,1.97,66.36,,
20,45.64,-0.58,,0.58,0.19,0.14,1.38,57.97,,
21,46.21,0.57,0.57,,0.22,0.13,1.70,62.93,,
22,46.25,0.04,0.04,,0.20,0.12,1.72,63.26,,
23,45.71,-0.54,,0.54,0.19,0.15,1.28,56.06,,
24,46.45,0.74,0.74,,0.23,0.14,1.66,62.38,,
25,45.78,-0.67,,0.67,0.21,0.18,1.21,54.71,,
26,45.35,-0.43,,0.43,0.20,0.19,1.02,50.42,,
27,44.03,-1.33,,1.33,0.18,0.27,0.67,39.99,,
28,44.18,0.15,0.15,,0.18,0.26,0.71,41.46,,
29,44.22,0.04,0.04,,0.17,0.24,0.72,41.87,,
30,44.57,0.35,0.35,,0.18,0.22,0.83,45.46,,
31,43.42,-1.15,,1.15,0.17,0.29,0.59,37.30,,
32,42.66,-0.76,,0.76,0.16,0.32,0.49,33.08,,
33,43.13,0.47,0.47,,0.18,0.30,0.61,37.77,,
,,,,,,,,,,
,,,,,,,,,,
