Unnamed: 0,Input,Change,Gain,Loss ,Avg Gain,Avg Loss,HM,14-day HMA,Unnamed: 9,Unnamed: 10,Loss,HMA
1.0,44.34,,0.0,,,,,,,,0.0,
2.0,44.09,-0.25,0.0,0.25,,,,,,,0.25,
3.0,44.15,0.05999999999999517,0.05999999999999517,,,,,,,,0.0,
4.0,43.61,-0.5399999999999991,0.0,0.54,,,,,,,0.5399999999999991,
5.0,44.33,0.7199999999999989,0.7199999999999989,,,,,,,,0.0,
6.0,44.83,0.5,0.5,,,,,,,,0.0,
7.0,45.1,0.2700000000000031,0.2700000000000031,,,,,,,,0.0,
8.0,45.42,0.3200000000000003,0.3200000000000003,,,,,,,,0.0,
9.0,45.84,0.4200000000000017,0.4200000000000017,,,,,,,,0.0,
10.0,46.08,0.23999999999999488,0.23999999999999488,,,,,,,,0.0,
11.0,45.89,-0.18999999999999773,0.0,0.19,,,,,,,0.18999999999999773,
12.0,46.03,0.14000000000000057,0.14000000000000057,,,,,,,,0.0,
13.0,45.61,-0.4200000000000017,0.0,0.42,,,,,,,0.4200000000000017,
14.0,46.28,0.6700000000000017,0.6700000000000017,,0.2385714285714283,0.0999999999999999,2.3857142857142857,HMA,,,0.0,45.114285714285714
15.0,46.28,0.0,0.0,,0.2385714285714283,0.0999999999999999,2.3857142857142857,70.53,,,0.0,45.25285714285714
16.0,46.0,-0.28000000000000114,0.0,0.28,0.2385714285714283,0.10214285714285712,2.3356643356643336,66.32,,,0.28000000000000114,45.38928571428572
17.0,46.03,0.030000000000001137,0.030000000000001137,,0.2364285714285716,0.10214285714285712,2.314685314685317,66.55,,,0.0,45.52357142857142
18.0,46.41,0.37999999999999545,0.37999999999999545,,0.2635714285714284,0.06357142857142861,4.146067415730331,69.41,,,0.0,45.723571428571425
19.0,46.22,-0.18999999999999773,0.0,0.19,0.21214285714285705,0.07714285714285703,2.750000000000003,66.36,,,0.18999999999999773,45.85857142857143
20.0,45.64,-0.5799999999999983,0.0,0.58,0.17642857142857135,0.11857142857142833,1.4879518072289182,57.97,,,0.5799999999999983,45.91642857142857
21.0,46.21,0.5700000000000003,0.5700000000000003,,0.19785714285714256,0.11857142857142833,1.6686746987951817,62.93,,,0.0,45.99571428571428
22.0,46.25,0.03999999999999915,0.03999999999999915,,0.1778571428571425,0.11857142857142833,1.5,63.26,,,0.0,46.055
23.0,45.71,-0.5399999999999991,0.0,0.54,0.14785714285714238,0.15714285714285683,0.9409090909090897,56.06,,,0.5399999999999991,46.04571428571428
24.0,46.45,0.740000000000002,0.740000000000002,,0.18357142857142858,0.15714285714285683,1.1681818181818204,62.38,,,0.0,46.07214285714286
25.0,45.78,-0.6700000000000017,0.0,0.67,0.18357142857142858,0.19142857142857142,0.9589552238805971,54.71,,,0.6700000000000017,46.06428571428571
26.0,45.35,-0.4299999999999997,0.0,0.43,0.17357142857142854,0.22214285714285711,0.7813504823151125,50.42,,,0.4299999999999997,46.01571428571429
27.0,44.03,-1.3200000000000003,0.0,1.33,0.17357142857142854,0.2864285714285713,0.6059850374064839,39.99,,,1.3200000000000003,45.902857142857144
28.0,44.18,0.14999999999999858,0.14999999999999858,,0.13642857142857118,0.2864285714285713,0.47630922693266764,41.46,,,0.0,45.75285714285714
29.0,44.22,0.03999999999999915,0.03999999999999915,,0.13928571428571399,0.2864285714285713,0.4862842892768071,41.87,,,0.0,45.605714285714285
30.0,44.57,0.3500000000000014,0.3500000000000014,,0.1642857142857141,0.2664285714285712,0.616621983914209,45.46,,,0.0,45.50357142857143
31.0,43.42,-1.1499999999999986,0.0,1.15,0.16214285714285687,0.34857142857142825,0.46516393442622916,37.30,,,1.1499999999999986,45.31714285714286
32.0,42.66,-0.7600000000000051,0.0,0.76,0.13500000000000004,0.4028571428571429,0.33510638297872347,33.08,,,0.7600000000000051,45.04928571428571
33.0,43.13,0.47000000000000597,0.47000000000000597,,0.16857142857142904,0.3892857142857145,0.4330275229357808,37.77,,,0.0,44.82857142857143
,,,0.0,,0.16857142857142904,0.3478571428571432,0.4845995893223828,,,,0.0,
,,,0.0,,0.1278571428571433,0.3478571428571432,0.36755646817248555,,,,0.0,
